user_id,signup_date,country,device_type,marketing_channel
251,2023-02-14,USA,desktop,referral
252,2023-01-23,USA,desktop,organic
253,2023-01-25,India,desktop,ads
254,2023-03-17,USA,desktop,organic
255,2023-06-04,India,mobile,organic
256,2023-03-12,India,mobile,organic
257,2023-05-03,USA,desktop,organic
258,2023-05-06,USA,desktop,organic
259,2023-03-27,UK,mobile,organic
260,2023-03-14,India,mobile,organic
261,2023-06-12,India,desktop,referral
262,2023-04-25,UK,desktop,organic
263,2023-06-01,India,desktop,organic
264,2023-01-15,India,mobile,referral
265,2023-06-08,India,mobile,ads
266,2023-06-06,UK,desktop,organic
267,2023-04-01,USA,desktop,ads
268,2023-01-03,USA,mobile,organic
269,2023-05-03,USA,desktop,organic
270,2023-02-22,USA,mobile,organic
271,2023-04-18,UK,desktop,referral
272,2023-02-25,India,desktop,referral
273,2023-03-23,USA,mobile,ads
274,2023-03-27,USA,desktop,referral
275,2023-04-08,UK,desktop,ads
276,2023-06-06,UK,desktop,referral
277,2023-03-06,UK,desktop,ads
278,2023-03-22,India,desktop,organic
279,2023-06-21,India,mobile,ads
280,2023-06-20,India,mobile,referral
281,2023-04-17,India,desktop,referral
282,2023-03-10,India,desktop,organic
283,2023-03-23,India,mobile,referral
284,2023-01-24,USA,mobile,organic
285,2023-03-30,USA,desktop,ads
286,2023-03-01,India,mobile,organic
287,2023-01-02,India,desktop,referral
288,2023-03-29,UK,desktop,referral
289,2023-02-23,USA,mobile,ads
290,2023-02-01,USA,desktop,referral
291,2023-06-28,UK,mobile,referral
292,2023-06-16,UK,mobile,organic
293,2023-03-25,UK,mobile,organic
294,2023-02-27,USA,mobile,organic
295,2023-05-31,India,desktop,ads
296,2023-05-10,India,desktop,ads
297,2023-04-11,India,desktop,organic
298,2023-04-30,India,desktop,referral
299,2023-06-06,USA,desktop,referral
300,2023-05-21,UK,mobile,ads
301,2023-04-17,USA,desktop,organic
302,2023-05-14,USA,desktop,referral
303,2023-04-05,India,desktop,referral
304,2023-04-07,USA,mobile,ads
305,2023-01-07,India,mobile,organic
306,2023-06-19,UK,desktop,ads
307,2023-06-08,UK,desktop,ads
308,2023-03-10,UK,desktop,organic
309,2023-02-23,UK,desktop,organic
310,2023-06-11,USA,desktop,ads
311,2023-04-10,UK,desktop,referral
312,2023-06-22,India,mobile,ads
313,2023-03-08,UK,desktop,referral
314,2023-02-20,India,mobile,ads
315,2023-04-21,India,mobile,referral
316,2023-04-02,India,desktop,ads
317,2023-05-04,UK,mobile,referral
318,2023-04-27,India,desktop,ads
319,2023-04-18,India,desktop,referral
320,2023-02-06,UK,mobile,ads
321,2023-01-18,UK,mobile,organic
322,2023-06-25,UK,mobile,organic
323,2023-03-12,USA,desktop,organic
324,2023-03-21,USA,desktop,organic
325,2023-02-12,USA,mobile,organic
326,2023-04-19,UK,desktop,ads
327,2023-03-12,USA,mobile,ads
328,2023-05-20,UK,desktop,organic
329,2023-02-21,USA,mobile,organic
330,2023-04-19,UK,mobile,organic
331,2023-01-20,USA,desktop,organic
332,2023-01-11,USA,desktop,ads
333,2023-06-18,India,desktop,ads
334,2023-01-07,USA,desktop,ads
335,2023-02-13,UK,desktop,organic
336,2023-06-28,India,mobile,organic
337,2023-06-21,India,desktop,referral
338,2023-02-05,UK,desktop,organic
339,2023-02-20,USA,mobile,organic
340,2023-05-19,USA,desktop,ads
341,2023-04-17,India,mobile,referral
342,2023-06-19,UK,desktop,organic
343,2023-04-28,India,mobile,referral
344,2023-01-07,USA,mobile,referral
345,2023-02-27,UK,desktop,ads
346,2023-01-09,USA,mobile,organic
347,2023-01-07,USA,mobile,organic
348,2023-03-15,UK,desktop,ads
349,2023-04-04,USA,mobile,ads
350,2023-02-22,UK,mobile,organic
351,2023-06-24,USA,mobile,referral
352,2023-02-11,India,desktop,ads
353,2023-05-31,UK,desktop,organic
354,2023-03-15,UK,mobile,ads
355,2023-05-16,India,mobile,ads
356,2023-04-28,UK,desktop,referral
357,2023-05-17,UK,mobile,ads
358,2023-03-19,India,desktop,organic
359,2023-02-18,USA,desktop,ads
360,2023-04-08,India,desktop,organic
361,2023-06-27,UK,mobile,referral
362,2023-03-11,USA,desktop,organic
363,2023-04-26,USA,mobile,referral
364,2023-03-30,India,desktop,organic
365,2023-01-07,UK,mobile,referral
366,2023-03-08,USA,mobile,organic
367,2023-06-09,USA,desktop,referral
368,2023-06-16,UK,desktop,referral
369,2023-05-17,India,mobile,organic
370,2023-03-09,USA,mobile,ads
371,2023-03-31,USA,mobile,organic
372,2023-01-20,India,desktop,organic
373,2023-01-30,India,mobile,referral
374,2023-01-26,USA,mobile,referral
375,2023-04-29,India,desktop,ads
376,2023-02-26,USA,mobile,ads
377,2023-04-14,UK,desktop,ads
378,2023-02-21,USA,mobile,referral
379,2023-04-23,India,desktop,organic
380,2023-06-20,India,desktop,referral
381,2023-04-20,UK,desktop,organic
382,2023-03-26,UK,mobile,ads
383,2023-06-02,UK,desktop,organic
384,2023-01-28,UK,mobile,referral
385,2023-01-02,USA,mobile,organic
386,2023-02-06,UK,desktop,organic
387,2023-06-20,India,mobile,ads
388,2023-01-09,India,mobile,organic
389,2023-03-13,USA,desktop,referral
390,2023-06-22,UK,desktop,organic
391,2023-05-06,USA,desktop,organic
392,2023-03-13,India,mobile,organic
393,2023-03-17,UK,mobile,ads
394,2023-02-14,UK,mobile,organic
395,2023-01-23,USA,desktop,organic
396,2023-06-10,India,mobile,ads
397,2023-01-14,USA,desktop,ads
398,2023-06-19,USA,mobile,ads
399,2023-05-12,USA,desktop,organic
400,2023-01-09,UK,desktop,ads
401,2023-04-27,UK,desktop,organic
402,2023-06-10,UK,mobile,organic
403,2023-03-09,USA,mobile,referral
404,2023-06-16,USA,desktop,organic
405,2023-04-27,USA,desktop,organic
406,2023-02-25,India,mobile,referral
407,2023-02-21,USA,desktop,organic
408,2023-06-28,UK,desktop,organic
409,2023-01-17,India,desktop,referral
410,2023-05-03,USA,desktop,ads
411,2023-05-06,India,desktop,referral
412,2023-03-20,USA,desktop,ads
413,2023-04-29,India,desktop,organic
414,2023-06-16,India,mobile,referral
415,2023-04-21,UK,desktop,referral
416,2023-01-25,USA,mobile,ads
417,2023-04-24,India,desktop,referral
418,2023-06-11,USA,desktop,ads
419,2023-04-20,UK,desktop,organic
420,2023-01-16,UK,mobile,referral
421,2023-06-27,USA,desktop,ads
422,2023-04-04,India,mobile,referral
423,2023-03-29,India,desktop,referral
424,2023-01-28,India,desktop,ads
425,2023-02-02,UK,mobile,organic
426,2023-04-30,India,desktop,referral
427,2023-05-19,India,mobile,ads
428,2023-05-02,India,mobile,ads
429,2023-02-26,India,mobile,ads
430,2023-04-02,USA,mobile,ads
431,2023-04-29,UK,desktop,referral
432,2023-02-14,India,mobile,ads
433,2023-03-07,India,mobile,organic
434,2023-03-27,USA,mobile,ads
435,2023-01-28,UK,mobile,ads
436,2023-05-26,UK,mobile,ads
437,2023-03-13,India,mobile,organic
438,2023-02-12,USA,desktop,ads
439,2023-02-25,USA,desktop,referral
440,2023-04-21,UK,desktop,ads
441,2023-03-14,UK,mobile,ads
442,2023-02-27,UK,mobile,ads
443,2023-06-27,USA,desktop,ads
444,2023-05-06,UK,desktop,ads
445,2023-06-08,India,desktop,ads
446,2023-05-19,UK,mobile,ads
447,2023-01-18,USA,desktop,organic
448,2023-01-14,India,mobile,referral
449,2023-04-15,India,mobile,organic
450,2023-02-10,UK,mobile,ads
451,2023-03-25,India,mobile,ads
452,2023-02-20,USA,mobile,referral
453,2023-03-09,UK,desktop,referral
454,2023-01-22,UK,mobile,referral
455,2023-01-29,UK,mobile,organic
456,2023-05-12,USA,desktop,ads
457,2023-03-26,UK,desktop,referral
458,2023-05-15,USA,mobile,referral
459,2023-06-10,USA,desktop,ads
460,2023-01-13,USA,desktop,referral
461,2023-01-26,USA,desktop,referral
462,2023-03-13,UK,desktop,ads
463,2023-03-18,India,desktop,organic
464,2023-04-07,India,mobile,referral
465,2023-02-08,UK,desktop,referral
466,2023-05-30,UK,mobile,ads
467,2023-02-26,India,desktop,referral
468,2023-03-10,USA,desktop,referral
469,2023-06-18,UK,mobile,organic
470,2023-03-13,USA,mobile,ads
471,2023-03-13,India,desktop,organic
472,2023-02-06,USA,mobile,organic
473,2023-02-09,India,mobile,organic
474,2023-01-05,UK,desktop,organic
475,2023-01-05,UK,desktop,referral
476,2023-03-18,UK,desktop,ads
477,2023-06-14,UK,desktop,referral
478,2023-02-13,UK,desktop,ads
479,2023-05-09,UK,desktop,ads
480,2023-06-17,USA,mobile,organic
481,2023-03-06,UK,desktop,referral
482,2023-05-29,USA,desktop,ads
483,2023-02-21,India,desktop,referral
484,2023-06-17,UK,mobile,organic
485,2023-01-01,UK,mobile,referral
486,2023-05-11,India,mobile,referral
487,2023-01-06,USA,mobile,organic
488,2023-02-01,India,desktop,organic
489,2023-01-01,India,desktop,organic
490,2023-01-05,USA,mobile,organic
491,2023-04-07,India,desktop,ads
492,2023-06-17,India,desktop,organic
493,2023-04-02,India,mobile,ads
494,2023-06-10,USA,mobile,ads
495,2023-05-31,UK,mobile,organic
496,2023-06-13,India,desktop,organic
497,2023-06-02,India,mobile,ads
498,2023-04-04,India,desktop,organic
499,2023-06-24,USA,desktop,ads
500,2023-01-26,India,desktop,referral
501,2023-02-26,UK,mobile,ads
502,2023-06-12,UK,mobile,ads
503,2023-04-09,India,desktop,organic
504,2023-06-07,UK,mobile,referral
505,2023-05-25,USA,desktop,organic
506,2023-04-18,UK,mobile,ads
507,2023-05-26,USA,mobile,ads
508,2023-01-10,UK,mobile,organic
509,2023-03-10,India,mobile,organic
510,2023-04-08,USA,mobile,organic
511,2023-05-26,India,mobile,organic
512,2023-01-12,UK,desktop,referral
513,2023-04-17,India,mobile,ads
514,2023-01-29,USA,desktop,organic
515,2023-02-28,UK,mobile,ads
516,2023-04-11,USA,mobile,organic
517,2023-06-28,USA,desktop,organic
518,2023-04-01,India,desktop,ads
519,2023-03-25,UK,mobile,referral
520,2023-06-05,USA,desktop,organic
521,2023-03-17,India,mobile,referral
522,2023-03-24,USA,desktop,ads
523,2023-04-30,USA,mobile,organic
524,2023-01-14,USA,desktop,organic
525,2023-05-11,USA,desktop,ads
526,2023-05-24,India,desktop,ads
527,2023-05-24,UK,desktop,ads
528,2023-01-09,USA,desktop,referral
529,2023-05-27,USA,mobile,organic
530,2023-01-20,India,desktop,referral
531,2023-01-02,UK,mobile,referral
532,2023-02-24,UK,desktop,referral
533,2023-05-18,India,mobile,organic
534,2023-04-19,USA,mobile,referral
535,2023-06-24,USA,desktop,organic
536,2023-02-24,USA,desktop,ads
537,2023-05-30,India,desktop,ads
538,2023-01-02,India,desktop,organic
539,2023-03-17,USA,desktop,referral
540,2023-03-16,USA,mobile,ads
541,2023-04-06,USA,mobile,organic
542,2023-04-19,India,mobile,ads
543,2023-05-01,USA,mobile,organic
544,2023-02-07,USA,mobile,referral
545,2023-05-12,India,mobile,organic
546,2023-05-29,India,mobile,organic
547,2023-06-22,UK,desktop,organic
548,2023-05-24,USA,desktop,ads
549,2023-02-24,USA,desktop,ads
550,2023-06-01,India,mobile,ads
551,2023-03-02,India,mobile,referral
552,2023-04-19,USA,desktop,organic
553,2023-06-12,USA,desktop,ads
554,2023-05-17,UK,mobile,organic
555,2023-03-06,UK,mobile,referral
556,2023-02-19,USA,desktop,ads
557,2023-05-31,UK,mobile,organic
558,2023-05-30,India,mobile,ads
559,2023-06-03,USA,desktop,ads
560,2023-03-22,USA,desktop,organic
561,2023-05-03,UK,desktop,organic
562,2023-03-28,UK,desktop,ads
563,2023-04-15,India,desktop,referral
564,2023-03-04,USA,desktop,referral
565,2023-03-14,UK,mobile,organic
566,2023-05-15,India,mobile,ads
567,2023-06-21,USA,mobile,referral
568,2023-05-15,India,mobile,organic
569,2023-05-24,UK,mobile,ads
570,2023-01-31,UK,mobile,referral
571,2023-02-27,USA,mobile,referral
572,2023-03-23,UK,desktop,ads
573,2023-01-27,USA,desktop,referral
574,2023-05-17,India,desktop,ads
575,2023-05-29,USA,mobile,referral
576,2023-06-28,UK,desktop,organic
577,2023-06-13,India,mobile,ads
578,2023-05-31,India,mobile,organic
579,2023-05-16,India,mobile,organic
580,2023-02-18,USA,mobile,organic
581,2023-03-16,USA,desktop,referral
582,2023-05-26,India,desktop,referral
583,2023-04-27,USA,mobile,organic
584,2023-06-05,UK,desktop,ads
585,2023-04-02,USA,desktop,ads
586,2023-06-01,UK,desktop,referral
587,2023-02-16,UK,mobile,organic
588,2023-04-19,UK,desktop,ads
589,2023-03-21,India,desktop,organic
590,2023-06-03,USA,desktop,organic
591,2023-04-08,India,mobile,ads
592,2023-06-26,India,desktop,ads
593,2023-03-23,USA,desktop,organic
594,2023-02-28,India,mobile,ads
595,2023-01-01,India,desktop,ads
596,2023-06-26,UK,mobile,organic
597,2023-03-26,USA,desktop,ads
598,2023-01-22,UK,desktop,referral
599,2023-06-18,USA,desktop,ads
600,2023-04-09,USA,mobile,ads
601,2023-01-09,USA,desktop,ads
602,2023-04-05,India,mobile,organic
603,2023-05-31,UK,desktop,ads
604,2023-06-13,USA,mobile,referral
605,2023-04-21,India,desktop,referral
606,2023-03-02,India,mobile,organic
607,2023-03-29,India,mobile,ads
608,2023-05-20,UK,desktop,ads
609,2023-06-21,USA,mobile,ads
610,2023-02-01,UK,mobile,referral
611,2023-05-27,India,mobile,organic
612,2023-03-05,USA,desktop,organic
613,2023-01-27,UK,mobile,referral
614,2023-02-23,USA,desktop,referral
615,2023-02-24,USA,desktop,referral
616,2023-03-28,India,desktop,organic
617,2023-05-25,UK,desktop,ads
618,2023-05-02,USA,mobile,organic
619,2023-04-27,USA,desktop,ads
620,2023-02-23,USA,desktop,ads
621,2023-01-02,India,mobile,ads
622,2023-01-11,India,mobile,referral
623,2023-06-27,USA,mobile,organic
624,2023-01-22,USA,mobile,referral
625,2023-05-17,India,mobile,organic
626,2023-01-05,UK,desktop,organic
627,2023-04-28,UK,desktop,organic
628,2023-06-04,India,desktop,organic
629,2023-06-15,UK,desktop,ads
630,2023-03-27,UK,mobile,organic
631,2023-06-25,USA,mobile,referral
632,2023-06-04,USA,mobile,organic
633,2023-04-20,UK,desktop,organic
634,2023-04-10,India,desktop,referral
635,2023-02-27,India,desktop,referral
636,2023-06-23,India,mobile,organic
637,2023-06-04,USA,desktop,ads
638,2023-04-29,India,desktop,ads
639,2023-02-23,USA,desktop,referral
640,2023-04-16,UK,mobile,ads
641,2023-02-07,UK,mobile,referral
642,2023-05-12,USA,desktop,ads
643,2023-05-06,UK,desktop,referral
644,2023-06-02,UK,mobile,organic
645,2023-03-14,UK,desktop,referral
646,2023-01-02,USA,mobile,referral
647,2023-03-23,UK,desktop,ads
648,2023-05-17,UK,mobile,referral
649,2023-05-13,India,mobile,referral
650,2023-03-23,India,desktop,ads
651,2023-04-15,USA,desktop,referral
652,2023-01-30,India,desktop,ads
653,2023-04-02,UK,desktop,referral
654,2023-05-17,USA,mobile,organic
655,2023-06-01,UK,desktop,organic
656,2023-06-05,India,desktop,organic
657,2023-04-11,UK,desktop,ads
658,2023-06-13,India,desktop,ads
659,2023-02-27,India,mobile,ads
660,2023-04-18,USA,desktop,organic
661,2023-05-11,UK,mobile,referral
662,2023-06-29,USA,mobile,ads
663,2023-02-05,India,desktop,referral
664,2023-04-19,India,desktop,ads
665,2023-03-31,UK,mobile,ads
666,2023-01-09,India,desktop,organic
667,2023-03-22,India,mobile,ads
668,2023-04-24,USA,mobile,referral
669,2023-04-06,India,desktop,organic
670,2023-02-13,UK,desktop,ads
671,2023-06-14,India,mobile,organic
672,2023-03-16,UK,mobile,organic
673,2023-06-23,UK,desktop,ads
674,2023-03-02,UK,desktop,referral
675,2023-02-24,UK,desktop,organic
676,2023-01-01,UK,mobile,organic
677,2023-05-10,India,mobile,organic
678,2023-01-03,UK,mobile,referral
679,2023-01-30,UK,desktop,ads
680,2023-06-09,UK,mobile,organic
681,2023-04-01,UK,mobile,ads
682,2023-03-27,UK,mobile,ads
683,2023-05-12,India,desktop,referral
684,2023-03-03,UK,desktop,organic
685,2023-05-08,UK,mobile,referral
686,2023-05-04,India,desktop,ads
687,2023-05-31,India,desktop,referral
688,2023-03-24,UK,desktop,organic
689,2023-03-19,USA,desktop,referral
690,2023-05-29,UK,mobile,ads
691,2023-03-13,India,desktop,referral
692,2023-04-10,UK,mobile,organic
693,2023-06-27,India,desktop,organic
694,2023-01-26,USA,mobile,ads
695,2023-05-14,USA,desktop,organic
696,2023-01-15,USA,mobile,ads
697,2023-03-16,USA,desktop,ads
698,2023-05-24,UK,mobile,ads
699,2023-01-09,UK,desktop,organic
700,2023-04-21,USA,mobile,ads
701,2023-01-03,USA,mobile,ads
702,2023-02-23,USA,mobile,referral
703,2023-04-24,USA,mobile,referral
704,2023-02-04,UK,mobile,referral
705,2023-06-27,India,desktop,referral
706,2023-06-12,UK,mobile,organic
707,2023-01-09,UK,mobile,organic
708,2023-06-19,USA,mobile,ads
709,2023-06-15,UK,mobile,organic
710,2023-06-25,India,mobile,organic
711,2023-05-08,India,mobile,organic
712,2023-04-28,USA,mobile,referral
713,2023-01-21,UK,mobile,ads
714,2023-06-28,USA,desktop,ads
715,2023-01-06,India,mobile,ads
716,2023-06-05,USA,desktop,referral
717,2023-01-20,India,desktop,organic
718,2023-03-18,India,desktop,ads
719,2023-02-19,UK,desktop,ads
720,2023-03-02,India,desktop,ads
721,2023-03-12,USA,mobile,organic
722,2023-02-20,India,mobile,ads
723,2023-03-04,India,desktop,organic
724,2023-01-22,UK,mobile,referral
725,2023-03-26,USA,mobile,ads
726,2023-06-12,India,desktop,organic
727,2023-02-13,UK,desktop,organic
728,2023-05-27,India,mobile,ads
729,2023-03-31,UK,mobile,organic
730,2023-01-14,UK,mobile,organic
731,2023-03-01,UK,desktop,organic
732,2023-02-19,India,desktop,organic
733,2023-04-29,USA,mobile,organic
734,2023-03-29,USA,mobile,organic
735,2023-02-08,USA,desktop,ads
736,2023-04-19,India,desktop,ads
737,2023-04-29,UK,desktop,organic
738,2023-06-24,UK,mobile,referral
739,2023-03-20,USA,mobile,ads
740,2023-04-30,UK,desktop,referral
741,2023-02-15,India,mobile,referral
742,2023-01-01,UK,desktop,ads
743,2023-06-20,USA,desktop,referral
744,2023-05-15,UK,mobile,ads
745,2023-02-28,India,mobile,ads
746,2023-06-19,USA,mobile,referral
747,2023-01-05,India,mobile,ads
