user_id,recency,frequency,monetary
1281,0,4,8070.00
998,2,4,7150.00
3689,8,6,8076.00
1865,13,1,1270.00
4217,8,3,5163.00
1867,5,1,2535.00
764,2,2,2328.00
1263,6,2,2130.00
1527,4,2,1657.00
2220,11,4,9417.00
311,6,5,8390.00
3393,4,3,6029.00
1521,3,7,9880.00
1637,10,6,10809.00
2954,4,5,7515.00
4858,1,3,1413.00
4789,6,3,6359.00
3375,5,5,6597.00
3814,6,3,4018.00
4115,2,4,6004.00
3636,0,3,2923.00
1142,2,5,6204.00
4406,0,5,6988.00
264,4,5,5032.00
4813,21,1,1831.00
1261,6,4,4950.00
303,5,3,2579.00
1180,5,4,3823.00
4952,18,2,3088.00
532,0,5,6696.00
1704,13,2,3331.00
2275,6,3,5591.00
1933,9,4,7893.00
1781,12,2,2949.00
3418,5,6,11129.00
3970,3,3,4654.00
4543,4,6,6788.00
2021,11,5,7697.00
368,1,4,5856.00
2418,4,6,7453.00
3277,2,6,10574.00
3208,2,6,8613.00
1685,0,6,9062.00
3975,13,2,2047.00
4740,15,1,743.00
4187,6,4,3778.00
540,3,2,4220.00
538,16,3,7228.00
2238,6,5,7592.00
3756,5,2,2873.00
3361,11,5,5667.00
2084,1,4,8130.00
2020,2,3,6004.00
3514,16,2,2041.00
1065,5,6,10765.00
1744,5,4,6110.00
2806,23,3,4401.00
3716,7,5,9784.00
3681,6,4,6932.00
1942,6,3,3279.00
1844,11,2,3602.00
1072,1,3,1779.00
17,2,2,1560.00
1627,4,1,2256.00
3839,0,4,8994.00
2337,15,1,1590.00
4473,3,3,4116.00
684,12,3,5549.00
3601,3,2,1977.00
3184,4,2,5414.00
3963,9,4,4227.00
3600,6,2,1783.00
2257,16,3,5918.00
1013,13,3,7423.00
2668,1,4,5645.00
2354,2,3,7802.00
288,16,2,5060.00
3901,0,3,3952.00
932,16,3,4454.00
1742,6,4,5022.00
379,8,2,2133.00
4068,1,4,5590.00
3805,0,5,4564.00
2978,3,4,4140.00
2055,1,4,10377.00
1190,3,1,1782.00
1558,8,4,4001.00
423,21,4,3644.00
4104,13,5,6948.00
341,22,1,2583.00
4866,1,4,2005.00
3122,1,6,10646.00
544,11,2,4487.00
2652,7,4,5674.00
4044,4,3,3890.00
4045,9,4,5866.00
4613,5,3,2752.00
2956,17,1,2883.00
1767,9,3,4044.00
886,6,3,2570.00
2712,3,5,5494.00
159,2,2,2773.00
4939,2,3,4937.00
4329,0,7,9205.00
1618,11,3,8674.00
3573,2,4,5968.00
1778,29,1,1148.00
930,15,6,11231.00
3096,5,5,8068.00
1578,1,4,4200.00
251,3,7,11010.00
4334,8,3,7611.00
3774,3,4,7122.00
1773,12,3,2351.00
3884,8,3,4853.00
2697,22,1,1457.00
3981,6,5,4698.00
1224,2,4,7396.00
1056,16,4,4547.00
754,8,3,3592.00
3781,7,1,1977.00
2180,4,2,2634.00
1169,9,1,1650.00
3127,7,2,3258.00
4524,1,5,8019.00
2515,16,2,3943.00
2846,16,2,2840.00
4903,8,2,3669.00
1148,17,1,468.00
166,1,4,4991.00
4863,0,3,3453.00
3936,5,3,2989.00
4034,1,3,2812.00
4234,8,1,1620.00
3974,0,7,13344.00
614,19,3,6982.00
4655,8,3,2845.00
2604,6,3,3722.00
4340,1,4,5196.00
2944,10,3,3582.00
4746,13,3,5873.00
1525,2,5,8675.00
4672,7,3,5693.00
638,7,2,1544.00
1930,16,3,9265.00
4354,4,7,8992.00
1407,10,4,5585.00
371,15,3,3334.00
2906,2,3,2882.00
1726,2,4,7020.00
1912,0,3,5459.00
4416,11,4,10872.00
4847,13,2,2384.00
1102,16,1,1359.00
482,7,3,2854.00
2921,1,5,6812.00
2059,0,3,7237.00
3215,2,4,2419.00
4383,9,5,5801.00
39,0,4,5664.00
1302,1,3,1212.00
1970,17,3,1742.00
2723,18,2,1392.00
1909,0,6,7577.00
3763,18,1,480.00
4974,6,2,2541.00
2748,6,4,6579.00
3131,5,1,407.00
1070,8,2,2513.00
3748,14,1,1911.00
2181,16,4,6909.00
1041,16,1,1538.00
4525,4,5,6284.00
1257,1,5,4695.00
3492,5,4,5475.00
2667,23,3,4465.00
64,1,2,2686.00
4003,1,6,6925.00
401,2,3,5330.00
2885,4,2,3290.00
2560,1,5,8577.00
2970,10,3,2758.00
2457,0,4,5422.00
2816,8,5,8203.00
285,1,6,12143.00
944,13,4,4150.00
2913,13,3,2147.00
297,4,4,7689.00
2450,3,4,5050.00
1757,16,3,1707.00
456,2,5,6861.00
4422,6,3,3592.00
1326,16,1,1800.00
358,0,4,5647.00
226,4,4,4409.00
4201,8,3,4885.00
2146,1,3,5610.00
528,6,6,6556.00
4060,4,2,2977.00
4239,5,3,3214.00
1231,9,3,3175.00
3899,21,4,3941.00
3286,2,2,894.00
2822,0,3,4825.00
1339,10,2,4425.00
1319,5,2,5311.00
2984,1,5,6109.00
361,1,4,4033.00
3333,9,3,2380.00
15,21,1,856.00
2339,2,1,3570.00
2006,11,3,4771.00
1220,9,5,5940.00
868,0,2,506.00
3878,16,2,3204.00
2908,8,3,2515.00
1152,1,2,4251.00
923,2,2,3679.00
1785,23,1,908.00
3631,14,2,1301.00
834,9,6,7611.00
321,4,3,5083.00
4657,17,1,1704.00
1779,15,3,6387.00
4052,6,4,6082.00
1250,1,3,3964.00
3892,1,4,4534.00
353,3,4,6905.00
774,1,6,9290.00
3137,1,3,3882.00
3111,13,5,9192.00
343,16,1,2314.00
385,13,3,1510.00
1115,9,3,3911.00
1592,2,4,3457.00
4636,6,6,7250.00
4571,13,3,4678.00
1681,5,6,5464.00
2689,0,2,4101.00
829,18,2,4927.00
4611,12,3,1994.00
1715,12,5,4507.00
4043,2,4,9095.00
1284,23,2,2363.00
1400,12,3,6331.00
2300,1,3,4453.00
4928,0,3,2879.00
4021,4,5,6920.00
3074,2,3,2615.00
3219,1,2,2620.00
262,1,4,3468.00
2313,27,1,3253.00
2624,26,1,1400.00
2364,5,4,3707.00
286,6,4,3875.00
2897,6,3,4493.00
1508,6,4,4229.00
2851,8,3,3249.00
2616,1,3,7448.00
3813,10,4,5130.00
2131,7,3,4039.00
3162,3,3,4820.00
300,15,3,4397.00
2817,20,2,3623.00
2346,0,3,5195.00
4440,4,4,6884.00
1600,0,4,3033.00
1497,5,6,7292.00
2274,9,3,5447.00
2587,10,6,7282.00
1289,0,6,10441.00
2907,3,4,4073.00
3518,16,2,3615.00
2219,8,3,5387.00
1695,8,4,5932.00
3773,0,3,6969.00
3930,0,3,6732.00
4774,5,4,7046.00
3873,0,2,1914.00
3400,4,6,11777.00
3139,5,4,6155.00
1509,11,2,4470.00
4830,0,3,2437.00
3629,2,8,11032.00
197,3,5,3214.00
3144,7,5,13028.00
2713,11,4,3314.00
2499,6,2,2676.00
4574,6,5,7774.00
2742,1,4,5021.00
1559,4,5,7819.00
2962,2,6,11062.00
4287,0,6,10420.00
3994,2,4,7239.00
3967,10,2,1567.00
676,0,4,5093.00
1604,4,3,4620.00
3804,3,4,5253.00
4374,9,3,5203.00
37,2,5,11400.00
3287,10,4,6236.00
1644,2,5,6964.00
1341,6,4,5104.00
3786,11,4,3363.00
4456,0,3,9881.00
3722,0,5,9593.00
509,13,1,1794.00
4335,0,3,1927.00
1336,4,3,3765.00
4283,2,3,4360.00
872,28,1,648.00
4344,23,1,2370.00
4627,2,4,5112.00
4345,15,2,2979.00
4450,6,2,2485.00
2081,3,5,7078.00
1579,1,2,3835.00
1531,1,2,4072.00
4766,13,1,2462.00
1938,4,4,5657.00
848,3,4,4519.00
1067,3,3,3740.00
996,1,6,9187.00
2325,3,5,7653.00
3268,2,4,9379.00
1075,0,4,7058.00
2201,19,2,3002.00
1611,16,2,996.00
4103,1,5,7117.00
3759,0,2,506.00
2273,0,3,4457.00
1855,13,1,951.00
3570,6,2,1833.00
4357,3,6,12112.00
452,3,2,3313.00
1729,8,3,3460.00
4278,2,1,1203.00
960,5,3,6400.00
3315,6,2,3117.00
3652,18,3,6097.00
4394,7,3,3856.00
1606,15,2,2812.00
2845,5,3,5115.00
3246,16,2,4093.00
2001,18,3,2052.00
1175,6,2,2222.00
3416,0,5,9167.00
2503,25,1,592.00
1506,4,2,3129.00
4442,4,3,1629.00
4169,5,3,3587.00
1253,2,3,4197.00
3491,3,3,5030.00
855,3,5,8649.00
1333,9,1,1538.00
602,2,3,3124.00
4704,5,7,10972.00
4140,1,4,11697.00
2292,3,5,5139.00
3048,1,5,4807.00
675,16,4,4274.00
937,0,4,4944.00
2550,20,1,1591.00
730,0,2,2196.00
1176,4,4,3849.00
3217,0,5,8139.00
4038,0,3,5408.00
1040,24,1,2364.00
4793,2,3,4217.00
2243,0,5,4492.00
3784,0,3,5846.00
674,0,7,9500.00
4615,6,4,6777.00
3254,10,5,6602.00
40,2,4,6314.00
129,16,3,5525.00
4027,17,1,964.00
3478,7,4,7719.00
1165,12,4,2273.00
2100,1,3,1304.00
4987,2,3,4366.00
2737,10,5,10129.00
3540,8,1,2373.00
3824,17,1,2380.00
1536,0,2,1248.00
2720,0,3,5019.00
2074,1,4,6290.00
1657,1,3,5758.00
4062,3,5,7373.00
832,5,6,8743.00
4092,1,3,6337.00
28,6,3,3816.00
2358,3,3,5333.00
3985,1,5,8162.00
3827,9,2,5818.00
1670,3,3,3851.00
125,11,2,1477.00
4216,8,2,2680.00
4534,7,2,2618.00
3947,5,1,1280.00
604,9,2,3261.00
1298,5,2,2225.00
1002,0,4,5689.00
2365,7,4,7497.00
3516,6,4,4505.00
2736,0,3,5047.00
1969,22,2,3389.00
2655,0,1,1281.00
4155,5,3,3727.00
1014,12,2,2007.00
3746,2,2,1446.00
3794,4,6,4948.00
1105,16,2,3553.00
3441,6,2,2977.00
4559,4,3,7750.00
1866,23,1,189.00
2152,1,3,2975.00
281,13,3,3364.00
2405,9,2,1380.00
3557,25,1,2493.00
687,12,3,3436.00
3648,3,2,4611.00
1605,4,3,5581.00
1073,16,2,4013.00
1519,1,3,5547.00
2110,15,5,8768.00
985,1,3,4865.00
2858,1,3,4431.00
1544,9,2,1888.00
1565,29,1,757.00
697,15,4,9607.00
945,6,2,3186.00
1794,13,3,2257.00
921,18,2,3350.00
4275,4,4,4598.00
3891,8,3,2809.00
1401,13,4,6243.00
2664,0,7,10543.00
211,7,3,5635.00
4005,0,4,5811.00
4136,3,1,2107.00
4853,2,3,4168.00
2053,8,2,3360.00
4709,10,2,1039.00
2235,7,3,5067.00
879,7,6,7214.00
4714,1,3,6893.00
4145,6,2,3010.00
4765,1,1,1209.00
908,9,5,4947.00
8,2,3,7286.00
2662,9,5,9344.00
4528,5,4,6395.00
4309,4,1,387.00
433,3,3,5888.00
708,12,5,5570.00
1805,9,3,7328.00
3136,2,3,6017.00
1403,13,3,4340.00
2171,4,6,9592.00
3633,0,2,2576.00
942,1,3,2539.00
227,24,2,4394.00
3020,4,2,716.00
2253,1,4,7008.00
3238,3,4,7067.00
1705,8,5,7397.00
3291,11,4,5229.00
2328,13,3,2406.00
2015,6,5,2786.00
4944,15,3,3255.00
2682,2,6,7966.00
4823,5,3,5460.00
4137,12,3,5179.00
3126,2,2,2803.00
437,2,3,3546.00
911,1,3,4307.00
4606,0,4,8333.00
1240,19,1,655.00
138,4,6,11900.00
3429,1,5,6582.00
2388,1,4,5841.00
239,6,3,3855.00
3242,1,8,13058.00
2780,1,3,3288.00
4256,19,3,6464.00
4662,1,7,10500.00
491,16,3,5685.00
4508,6,3,2835.00
375,2,4,6863.00
2691,18,1,430.00
3983,5,6,6976.00
136,26,2,3175.00
794,5,3,1332.00
1147,2,2,2936.00
4996,5,2,3523.00
4267,17,2,4058.00
351,13,5,7303.00
707,3,4,7473.00
1860,9,5,7996.00
3863,9,3,5499.00
1530,2,2,3001.00
2727,26,1,3127.00
1487,0,4,5810.00
1733,2,3,6400.00
1226,7,3,3048.00
1555,16,2,1980.00
3145,4,4,5218.00
4182,1,3,4168.00
1716,13,2,1920.00
828,5,3,4215.00
3430,11,2,4539.00
3825,1,4,6091.00
1279,2,5,9993.00
3925,11,4,10065.00
3159,11,4,5365.00
3352,1,6,7870.00
3247,0,3,2657.00
4527,20,2,2574.00
1882,4,7,8576.00
2327,6,6,6875.00
1340,5,4,5300.00
4158,15,3,6599.00
65,1,4,9248.00
2044,1,5,4187.00
1659,5,2,4105.00
758,4,4,3125.00
1616,0,5,5973.00
2434,1,3,3519.00
468,6,3,2128.00
785,0,1,2844.00
1513,7,2,3799.00
920,0,4,5818.00
3402,6,2,2600.00
2849,20,3,2896.00
4176,4,5,4608.00
3466,3,2,2285.00
396,1,4,3448.00
3992,0,6,6412.00
933,1,3,6473.00
1956,11,3,7748.00
2632,8,4,7800.00
1373,16,1,420.00
808,11,2,2466.00
4302,23,2,1667.00
2148,1,5,7090.00
777,0,4,2818.00
327,9,2,2206.00
4519,10,2,3621.00
1750,20,2,2510.00
4319,1,3,3401.00
3859,1,6,8869.00
4610,16,2,2646.00
1460,6,3,3364.00
1697,10,4,7409.00
337,2,2,2290.00
4983,0,4,3911.00
865,12,4,6574.00
378,8,3,3963.00
4133,0,3,5501.00
2969,9,5,3585.00
2904,4,1,1538.00
4783,13,3,3119.00
1354,3,5,7479.00
3599,7,3,5183.00
1259,8,2,4047.00
814,18,2,2428.00
913,4,4,8664.00
2993,14,3,4057.00
2782,8,4,5091.00
349,16,3,2483.00
1835,4,4,6175.00
445,14,4,3893.00
1477,1,4,2515.00
4932,1,5,4691.00
1818,1,5,7598.00
1163,8,4,5272.00
2507,5,5,8166.00
929,14,1,3638.00
338,5,8,10024.00
2112,24,2,3388.00
2224,0,2,2159.00
2458,2,2,3136.00
3595,4,4,4260.00
4743,11,5,7488.00
1639,17,4,4819.00
2876,7,3,7850.00
4807,1,7,9839.00
2883,25,1,758.00
1193,1,9,7933.00
3231,21,4,3188.00
3130,0,3,3018.00
1994,15,3,2225.00
4968,13,3,1983.00
762,9,4,6550.00
4923,13,1,702.00
1452,12,4,4380.00
1617,13,1,208.00
2801,1,4,4353.00
4082,0,5,8868.00
4241,10,3,3866.00
3071,1,4,5087.00
4117,13,3,3395.00
4324,11,3,3714.00
2267,9,3,5879.00
3146,2,8,12101.00
4708,5,3,3827.00
3357,13,6,7079.00
2312,12,2,1414.00
3390,12,2,2723.00
4272,5,2,4710.00
3271,8,4,4842.00
1498,0,3,3050.00
3014,0,6,7801.00
601,0,4,4478.00
3090,4,4,4499.00
1150,11,5,8899.00
3810,0,3,6655.00
2568,9,4,9340.00
3872,0,1,1142.00
804,11,2,1922.00
1397,18,1,1844.00
4777,23,2,4181.00
1915,29,1,735.00
2228,2,3,6550.00
1001,0,6,10413.00
934,4,4,6536.00
3341,17,2,2262.00
1647,3,4,7599.00
1019,6,4,6630.00
376,13,4,7365.00
1198,3,5,8057.00
3960,3,3,1780.00
4651,2,6,8523.00
3025,3,5,8056.00
249,4,3,3223.00
4653,1,2,5955.00
415,10,2,3066.00
496,0,3,4367.00
397,0,6,7440.00
4792,4,5,6350.00
926,1,5,5215.00
1308,0,4,8701.00
2792,18,2,5516.00
1446,0,3,3324.00
3350,16,2,3366.00
993,0,2,1812.00
3931,2,4,5965.00
402,0,2,3752.00
2351,19,2,4889.00
2118,7,3,4170.00
3274,14,2,2944.00
4692,3,3,1908.00
1465,5,1,132.00
2852,0,3,5675.00
2093,1,4,7792.00
3256,4,2,2035.00
4710,16,3,4300.00
3054,1,3,2401.00
4666,0,4,3808.00
1476,3,5,5473.00
2577,18,2,3974.00
3849,2,3,4096.00
4244,14,4,4605.00
2335,9,2,2090.00
2677,0,5,9163.00
830,4,4,3790.00
4969,4,3,4202.00
3234,0,3,2512.00
2375,1,3,5708.00
4095,6,4,7001.00
3186,6,1,1354.00
2526,5,2,3575.00
2142,12,3,4819.00
1456,5,5,8023.00
2283,2,4,6717.00
399,3,2,2504.00
4016,9,3,5895.00
1650,16,2,3765.00
2291,0,2,5154.00
1424,6,3,3994.00
546,3,3,3854.00
1628,0,4,4761.00
2040,6,5,6205.00
1651,22,2,3272.00
4197,14,1,635.00
4408,6,3,5782.00
3057,13,3,3955.00
2942,1,3,2686.00
2686,15,1,2115.00
2923,12,5,4629.00
4633,4,3,2875.00
179,0,3,4221.00
3566,1,4,4954.00
3033,12,3,3520.00
4631,7,3,3856.00
809,22,2,4143.00
4305,13,4,4788.00
2356,3,3,6489.00
3885,27,1,2685.00
608,1,3,4314.00
71,5,2,2631.00
2791,1,6,10221.00
3455,7,4,4950.00
2473,20,2,3545.00
3800,20,1,602.00
2953,10,3,7016.00
3106,8,4,4933.00
1372,21,3,5984.00
2617,0,4,5902.00
1418,5,4,5784.00
4507,6,5,4818.00
2757,4,2,3709.00
4852,3,5,7899.00
3043,10,4,6520.00
1811,6,3,8247.00
1128,17,6,10817.00
4310,10,2,1657.00
2128,18,1,864.00
2889,1,4,7617.00
4970,1,7,8766.00
2796,4,5,9883.00
718,0,7,7005.00
3613,3,2,2828.00
3340,5,4,5215.00
4988,0,6,10482.00
1303,8,3,2223.00
4643,19,3,3476.00
2279,7,4,6540.00
465,8,2,1465.00
3232,8,5,10336.00
3415,7,3,2190.00
1391,1,1,694.00
2205,2,2,3073.00
1702,9,1,1782.00
3288,4,8,9221.00
258,0,6,9008.00
3882,12,2,4777.00
2593,3,4,6355.00
3493,10,3,2172.00
2452,3,3,4902.00
529,18,3,1140.00
393,0,4,4666.00
1671,1,3,6619.00
739,2,4,2957.00
4948,14,2,2093.00
4106,1,4,7346.00
3627,11,2,2236.00
2340,6,3,3778.00
1069,14,1,1068.00
2565,2,5,11711.00
4285,2,3,3103.00
1332,13,3,3004.00
2559,27,1,1094.00
1215,25,1,692.00
3366,3,3,5218.00
3391,3,6,5186.00
58,5,4,4666.00
4667,0,3,4247.00
1082,13,2,5296.00
143,8,3,4787.00
4280,5,5,8218.00
48,3,3,4031.00
1810,4,3,5351.00
3132,0,6,9091.00
521,2,2,4117.00
1710,10,2,4637.00
703,4,3,2783.00
2355,12,2,1917.00
1288,19,2,1605.00
2863,11,4,5419.00
1055,6,6,12888.00
3202,3,2,1385.00
2113,8,2,2490.00
690,21,1,402.00
1318,7,4,7176.00
4553,20,2,4353.00
3377,7,2,951.00
3147,1,5,4100.00
1313,0,6,6518.00
1840,2,3,3127.00
1831,11,3,4111.00
112,26,1,354.00
657,2,2,4852.00
2124,5,3,7540.00
4475,5,3,4925.00
890,2,2,3873.00
1342,6,3,2118.00
2067,4,8,10281.00
3427,18,2,2346.00
3138,3,3,5369.00
2717,6,3,2488.00
628,5,3,2539.00
2187,2,3,3538.00
3933,6,4,4400.00
2893,13,2,2385.00
3088,7,6,13301.00
4000,12,4,9212.00
12,0,5,7625.00
594,11,7,11730.00
671,1,7,12610.00
78,0,4,5918.00
4673,9,4,5004.00
1934,1,6,5520.00
1919,13,2,1158.00
530,0,5,6184.00
1791,4,4,5154.00
4557,13,3,4872.00
2611,0,4,7263.00
165,2,5,7827.00
3047,0,2,5097.00
1170,15,2,4379.00
426,13,3,2932.00
160,0,2,2338.00
3513,0,3,2624.00
4767,3,4,7614.00
1406,15,3,4982.00
4763,1,3,5478.00
3717,0,6,11367.00
1447,9,1,2109.00
460,4,5,10514.00
473,7,3,7069.00
192,19,2,5750.00
1941,15,3,4101.00
1267,5,4,4758.00
2370,5,3,4780.00
962,0,3,5194.00
2254,10,3,4939.00
2107,0,4,5334.00
66,1,4,3958.00
2077,12,4,4119.00
1690,0,5,8755.00
591,27,1,1121.00
3030,12,5,2220.00
4489,14,1,2595.00
3906,2,4,7171.00
3548,15,2,4214.00
4452,6,5,9071.00
4294,25,1,562.00
151,0,3,4653.00
3349,18,3,4265.00
3243,2,2,1935.00
1083,8,2,2622.00
651,3,9,12360.00
4109,2,2,2372.00
4719,6,4,4621.00
895,2,5,7698.00
2454,21,2,6167.00
3435,1,5,10355.00
3487,9,2,4441.00
3156,0,4,8063.00
4152,11,3,5451.00
1362,0,6,9055.00
2609,0,4,7666.00
624,0,3,4239.00
2095,1,6,9374.00
1714,1,6,6400.00
2290,3,7,8290.00
424,12,2,2369.00
3919,2,3,7463.00
844,2,7,12179.00
3715,3,3,5279.00
3370,8,3,8129.00
3342,21,2,1613.00
4568,8,2,1646.00
3365,0,4,8195.00
477,4,6,8429.00
3469,28,1,701.00
2557,11,2,2643.00
4107,1,3,6735.00
2303,4,5,4932.00
2106,7,1,1126.00
1795,7,5,4337.00
4118,2,3,4941.00
4688,5,3,3355.00
152,3,2,2046.00
2477,9,5,5221.00
1892,4,4,4595.00
1766,24,2,4158.00
817,7,3,4616.00
